id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1082572,Available Now! Private Yard & Parking. Dogs OK.,879998,Wade,,Baker,39.71466,-104.99192,Entire home/apt,,30,48,2024-05-01,0.35,4,0,1,
1087609,Private Denver condo near Capitol,5124037,Darja,,Capitol Hill,39.73442,-104.98344,Entire home/apt,86,29,25,2024-09-12,0.18,2,184,2,
1220547,Sunny Southwest Exposure! Brooks Tower One-Bed 5A,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,56,30,3,2021-08-31,0.02,16,220,0,
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,60,29,160,2024-05-14,1.17,3,225,1,
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,187,2023-10-31,1.33,3,365,0,
1288109,Downtown Studio w/Great Location: Brooks Tower 4M,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,58,30,6,2021-07-31,0.04,16,213,0,
1288126,Spacious Studio! Brooks Tower 6B,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,58,30,10,2024-08-03,0.07,16,33,1,
1309159,Logan Square Studio APT #3 - w/clawfoot tub,1001851,Joe,,Capitol Hill,39.73444082066197,-104.98377035083135,Entire home/apt,64,30,56,2021-09-05,0.40,2,333,0,
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,Ann,,Platt Park,39.68332,-104.97382,Entire home/apt,,29,32,2024-08-03,0.23,1,0,4,2021-BFN-0003953
1315816,Downtown 2x2 w/rooftop pool! Brooks Tower 4L,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,7,2023-07-15,0.05,16,163,0,
1327856,Downtown Oasis with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,125,2,184,2024-09-02,1.33,1,11,3,2016-BFN-0007176
1339536,Downtown Apt w/Private Balcony! Brooks Tower 6N,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,65,30,8,2024-07-06,0.08,16,122,1,
1339557,Fully furnished - Urban Living - Brooks Tower 6D,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,11,2024-08-26,0.08,16,107,2,
1397309,Private balcony! Brooks Tower 6A,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,7,2023-09-19,0.05,16,213,0,
